horizon_step,mae,rmse,r2,smape,model_name,benchmark_mae,benchmark_rmse,benchmark_r2,benchmark_smape
1,0.6540573239326477,1.9308430536140992,0.8174984455108643,157.59498596191406,LSTM 24H Forecaster,0.7113692760467529,2.1917990810102403,0.7648342847824097,25.98409080505371
2,0.6895509958267212,2.0791300014201073,0.7977980375289917,129.4868621826172,LSTM 24H Forecaster,0.7266390323638916,2.183529438306908,0.7769818305969238,26.5318660736084
3,0.7116056680679321,2.241644497824413,0.7606486082077026,170.227783203125,LSTM 24H Forecaster,0.7171784043312073,2.2151122023018655,0.7662810683250427,27.064815521240234
4,0.7403720617294312,2.332982774921897,0.73017418384552,121.55858612060547,LSTM 24H Forecaster,0.746224045753479,2.4051811519610697,0.7132153511047363,26.302888870239258
5,0.709917426109314,2.150217768264008,0.7491760849952698,133.3283233642578,LSTM 24H Forecaster,0.6866390109062195,2.0902063928569325,0.7629814147949219,25.756839752197266
6,0.661848247051239,2.007602784600296,0.765532910823822,156.7375946044922,LSTM 24H Forecaster,0.6760165691375732,2.1151498370831767,0.7397392988204956,25.728961944580078
7,0.6535309553146362,1.9571641583720467,0.7657505869865417,162.0674591064453,LSTM 24H Forecaster,0.6434854865074158,1.9754090090849106,0.7613628506660461,25.5862979888916
8,0.6016829013824463,1.7499905313508142,0.8077954053878784,151.73016357421875,LSTM 24H Forecaster,0.5845643281936646,1.8260448391225457,0.7907259464263916,24.924087524414062
9,0.5757104754447937,1.6791987218076831,0.8255767822265625,146.53407287597656,LSTM 24H Forecaster,0.5799170136451721,1.8508717338887175,0.788089394569397,24.4282169342041
10,0.5767426490783691,1.636458929374614,0.8197909593582153,122.87705993652344,LSTM 24H Forecaster,0.634854793548584,2.0213384750715164,0.7250559329986572,26.226144790649414
11,0.5899231433868408,1.824546572127693,0.8159816265106201,157.7809600830078,LSTM 24H Forecaster,0.6755186915397644,2.266845689977955,0.7159497141838074,24.238317489624023
12,0.6531552076339722,1.9223237172871794,0.8051692843437195,140.20851135253906,LSTM 24H Forecaster,0.6541078686714172,2.1164050468703324,0.7638423442840576,24.5268497467041
13,0.6373481154441833,1.8454206623933618,0.8329712152481079,118.91600799560547,LSTM 24H Forecaster,0.70688796043396,2.276453488684761,0.7458336353302002,23.101099014282227
14,0.6501288414001465,1.8362842638157175,0.8435361981391907,132.1933135986328,LSTM 24H Forecaster,0.7010788321495056,2.1040959739770186,0.7945694327354431,26.039525985717773
15,0.6960921287536621,2.0171376547945092,0.8174378275871277,151.07530212402344,LSTM 24H Forecaster,0.7410788536071777,2.205500519186204,0.7817500829696655,25.99334716796875
16,0.6988174915313721,2.1264097362083008,0.7899132370948792,158.30679321289062,LSTM 24H Forecaster,0.7372614145278931,2.270503612227298,0.7604759335517883,26.550092697143555
17,0.7096864581108093,2.21665425787108,0.7634824514389038,128.83761596679688,LSTM 24H Forecaster,0.7488796710968018,2.3871023116508985,0.7257102727890015,25.63738250732422
18,0.6902346014976501,2.0817281133757115,0.7766152620315552,125.18461608886719,LSTM 24H Forecaster,0.7195020914077759,2.2009050804999206,0.7503060102462769,25.65658187866211
19,0.6220115423202515,1.8519858990826579,0.804473876953125,115.30855560302734,LSTM 24H Forecaster,0.6707053780555725,2.0508473994167824,0.7602293491363525,25.043058395385742
20,0.59897780418396,1.774320878147056,0.799533486366272,116.43453979492188,LSTM 24H Forecaster,0.6358506083488464,1.9877216623364014,0.7484127283096313,24.78223419189453
21,0.5840974450111389,1.7536655592217303,0.8111075162887573,103.7657470703125,LSTM 24H Forecaster,0.5923651456832886,1.879657428656292,0.782990574836731,24.830001831054688
22,0.5859326124191284,1.717149440076327,0.8161373734474182,113.3681640625,LSTM 24H Forecaster,0.5926970839500427,1.967663904364653,0.7585767507553101,23.959341049194336
23,0.591636061668396,1.7240441369162092,0.7962715029716492,124.02583312988281,LSTM 24H Forecaster,0.6481328010559082,2.119539650472606,0.6920799016952515,25.927770614624023
24,0.617872953414917,1.8926842564290278,0.7951220870018005,139.9966583251953,LSTM 24H Forecaster,0.7015767693519592,2.3987894700834933,0.6709036827087402,24.55655860900879
1,0.7101450562477112,1.8477997351130844,0.8328592777252197,139.25491333007812,GRU 24H Forecaster,0.7113692760467529,2.1917990810102403,0.7648342847824097,25.98409080505371
2,0.7087787985801697,1.9843373332616365,0.8158155083656311,125.32568359375,GRU 24H Forecaster,0.7266390323638916,2.183529438306908,0.7769818305969238,26.5318660736084
3,0.7578800320625305,2.162115109099217,0.7773308157920837,163.48655700683594,GRU 24H Forecaster,0.7171784043312073,2.2151122023018655,0.7662810683250427,27.064815521240234
4,0.8175526261329651,2.296314612296194,0.7385894060134888,158.38522338867188,GRU 24H Forecaster,0.746224045753479,2.4051811519610697,0.7132153511047363,26.302888870239258
5,0.7893998622894287,2.1520317945436034,0.7487527132034302,149.63392639160156,GRU 24H Forecaster,0.6866390109062195,2.0902063928569325,0.7629814147949219,25.756839752197266
6,0.7775470018386841,2.000195851273302,0.7672598361968994,161.10153198242188,GRU 24H Forecaster,0.6760165691375732,2.1151498370831767,0.7397392988204956,25.728961944580078
7,0.7866837382316589,1.9626349287360787,0.7644391655921936,156.29830932617188,GRU 24H Forecaster,0.6434854865074158,1.9754090090849106,0.7613628506660461,25.5862979888916
8,0.765777051448822,1.8100425898562458,0.7943778038024902,172.8522491455078,GRU 24H Forecaster,0.5845643281936646,1.8260448391225457,0.7907259464263916,24.924087524414062
9,0.7382896542549133,1.7805663687578837,0.8038824796676636,157.3479461669922,GRU 24H Forecaster,0.5799170136451721,1.8508717338887175,0.788089394569397,24.4282169342041
10,0.7036449909210205,1.685131105704926,0.808911919593811,134.14724731445312,GRU 24H Forecaster,0.634854793548584,2.0213384750715164,0.7250559329986572,26.226144790649414
11,0.6223476529121399,1.7992824183738738,0.8210424780845642,126.42326354980469,GRU 24H Forecaster,0.6755186915397644,2.266845689977955,0.7159497141838074,24.238317489624023
12,0.641080379486084,1.8482625019110406,0.8198925256729126,114.55887603759766,GRU 24H Forecaster,0.6541078686714172,2.1164050468703324,0.7638423442840576,24.5268497467041
13,0.6285828351974487,1.7656937307298017,0.8470916152000427,134.5587615966797,GRU 24H Forecaster,0.70688796043396,2.276453488684761,0.7458336353302002,23.101099014282227
14,0.6608874201774597,1.7864472043179187,0.8519138693809509,138.8772735595703,GRU 24H Forecaster,0.7010788321495056,2.1040959739770186,0.7945694327354431,26.039525985717773
15,0.7032027840614319,1.9640866104381987,0.826914370059967,125.67231750488281,GRU 24H Forecaster,0.7410788536071777,2.205500519186204,0.7817500829696655,25.99334716796875
16,0.7195390462875366,2.11731001721155,0.7917075157165527,120.36205291748047,GRU 24H Forecaster,0.7372614145278931,2.270503612227298,0.7604759335517883,26.550092697143555
17,0.7305721640586853,2.2099924392916086,0.7649019956588745,139.6525421142578,GRU 24H Forecaster,0.7488796710968018,2.3871023116508985,0.7257102727890015,25.63738250732422
18,0.7514466047286987,2.058261446398921,0.7816231846809387,158.2690887451172,GRU 24H Forecaster,0.7195020914077759,2.2009050804999206,0.7503060102462769,25.65658187866211
19,0.692730724811554,1.8530817679754719,0.8042424321174622,158.0967254638672,GRU 24H Forecaster,0.6707053780555725,2.0508473994167824,0.7602293491363525,25.043058395385742
20,0.7005085945129395,1.822682029518918,0.7884566783905029,159.88333129882812,GRU 24H Forecaster,0.6358506083488464,1.9877216623364014,0.7484127283096313,24.78223419189453
21,0.6685340404510498,1.7845613586060876,0.8043931126594543,161.99180603027344,GRU 24H Forecaster,0.5923651456832886,1.879657428656292,0.782990574836731,24.830001831054688
22,0.6436160802841187,1.7260497009176305,0.8142264485359192,162.66781616210938,GRU 24H Forecaster,0.5926970839500427,1.967663904364653,0.7585767507553101,23.959341049194336
23,0.6697195768356323,1.731595191557463,0.7944830060005188,156.35067749023438,GRU 24H Forecaster,0.6481328010559082,2.119539650472606,0.6920799016952515,25.927770614624023
24,0.6974871158599854,1.9153945958534777,0.7901759147644043,128.91246032714844,GRU 24H Forecaster,0.7015767693519592,2.3987894700834933,0.6709036827087402,24.55655860900879
1,0.8758212924003601,2.4371132176976236,0.7092471718788147,170.926513671875,Temporal CNN 24H Forecaster,0.7113692760467529,2.1917990810102403,0.7648342847824097,25.98409080505371
2,0.8737005591392517,2.4450123758139344,0.7203696966171265,152.41183471679688,Temporal CNN 24H Forecaster,0.7266390323638916,2.183529438306908,0.7769818305969238,26.5318660736084
3,0.8571859002113342,2.6288170083757048,0.6708277463912964,116.68566131591797,Temporal CNN 24H Forecaster,0.7171784043312073,2.2151122023018655,0.7662810683250427,27.064815521240234
4,0.8884861469268799,2.7622605025787204,0.6217406988143921,139.06117248535156,Temporal CNN 24H Forecaster,0.746224045753479,2.4051811519610697,0.7132153511047363,26.302888870239258
5,0.9340623617172241,2.7432597528310523,0.5917389988899231,152.68408203125,Temporal CNN 24H Forecaster,0.6866390109062195,2.0902063928569325,0.7629814147949219,25.756839752197266
6,0.9836025238037109,2.7643679763252784,0.5554525852203369,176.06065368652344,Temporal CNN 24H Forecaster,0.6760165691375732,2.1151498370831767,0.7397392988204956,25.728961944580078
7,1.0199484825134277,2.81919589353862,0.5139572024345398,176.91769409179688,Temporal CNN 24H Forecaster,0.6434854865074158,1.9754090090849106,0.7613628506660461,25.5862979888916
8,1.0235378742218018,2.8742515584903794,0.4815080761909485,177.762939453125,Temporal CNN 24H Forecaster,0.5845643281936646,1.8260448391225457,0.7907259464263916,24.924087524414062
9,0.9860368371009827,2.8426286771262452,0.5001492500305176,154.2674102783203,Temporal CNN 24H Forecaster,0.5799170136451721,1.8508717338887175,0.788089394569397,24.4282169342041
10,0.9537158608436584,2.658259809507669,0.5244883298873901,178.9323272705078,Temporal CNN 24H Forecaster,0.634854793548584,2.0213384750715164,0.7250559329986572,26.226144790649414
11,0.9861447811126709,2.824644697683561,0.5589590072631836,157.72642517089844,Temporal CNN 24H Forecaster,0.6755186915397644,2.266845689977955,0.7159497141838074,24.238317489624023
12,0.9981352090835571,2.7981863517246794,0.587182879447937,171.59478759765625,Temporal CNN 24H Forecaster,0.6541078686714172,2.1164050468703324,0.7638423442840576,24.5268497467041
13,0.9333780407905579,2.7196040072813723,0.6372462511062622,145.4303741455078,Temporal CNN 24H Forecaster,0.70688796043396,2.276453488684761,0.7458336353302002,23.101099014282227
14,0.9707815647125244,2.756733799554768,0.6473664045333862,174.49363708496094,Temporal CNN 24H Forecaster,0.7010788321495056,2.1040959739770186,0.7945694327354431,26.039525985717773
15,0.969355046749115,2.814461087937642,0.6445895433425903,162.37994384765625,Temporal CNN 24H Forecaster,0.7410788536071777,2.205500519186204,0.7817500829696655,25.99334716796875
16,0.9358137249946594,2.9081331120371123,0.6070536375045776,111.60285186767578,Temporal CNN 24H Forecaster,0.7372614145278931,2.270503612227298,0.7604759335517883,26.550092697143555
17,0.9434479475021362,2.87437448745859,0.6023013591766357,173.0731964111328,Temporal CNN 24H Forecaster,0.7488796710968018,2.3871023116508985,0.7257102727890015,25.63738250732422
18,0.9628824591636658,2.8387682529737783,0.584601104259491,161.6679229736328,Temporal CNN 24H Forecaster,0.7195020914077759,2.2009050804999206,0.7503060102462769,25.65658187866211
19,0.9807178974151611,2.7918232736264144,0.5556703805923462,174.6267547607422,Temporal CNN 24H Forecaster,0.6707053780555725,2.0508473994167824,0.7602293491363525,25.043058395385742
20,0.9160984754562378,2.6850943333199497,0.5409113168716431,142.02464294433594,Temporal CNN 24H Forecaster,0.6358506083488464,1.9877216623364014,0.7484127283096313,24.78223419189453
21,1.0021759271621704,2.8189403968672497,0.5119178295135498,176.74591064453125,Temporal CNN 24H Forecaster,0.5923651456832886,1.879657428656292,0.782990574836731,24.830001831054688
22,0.9320615530014038,2.7321435160774126,0.5345379114151001,161.69561767578125,Temporal CNN 24H Forecaster,0.5926970839500427,1.967663904364653,0.7585767507553101,23.959341049194336
23,0.892379879951477,2.531900110471003,0.5606120824813843,157.37106323242188,Temporal CNN 24H Forecaster,0.6481328010559082,2.119539650472606,0.6920799016952515,25.927770614624023
24,0.906004786491394,2.574695872892685,0.6208678483963013,166.60523986816406,Temporal CNN 24H Forecaster,0.7015767693519592,2.3987894700834933,0.6709036827087402,24.55655860900879
