column,feature_group,dtype,missing_count
pickup_count,taxi_demand_features,float64,0
mean_trip_distance,taxi_demand_features,float64,0
mean_total_amount,taxi_demand_features,float64,0
mean_fare_amount,taxi_demand_features,float64,0
mean_duration_minutes,taxi_demand_features,float64,0
median_duration_minutes,taxi_demand_features,float64,0
mean_passenger_count,taxi_demand_features,float64,0
unique_dropoff_zones,taxi_demand_features,float64,0
hour,taxi_demand_features,int32,0
day_of_week,taxi_demand_features,int32,0
day_of_month,taxi_demand_features,int32,0
month,taxi_demand_features,int32,0
week_of_year,taxi_demand_features,int64,0
is_weekend,taxi_demand_features,int64,0
is_holiday,taxi_demand_features,int64,0
is_rush_hour,taxi_demand_features,int64,0
hour_sin,taxi_demand_features,float64,0
hour_cos,taxi_demand_features,float64,0
day_of_week_sin,taxi_demand_features,float64,0
day_of_week_cos,taxi_demand_features,float64,0
borough,taxi_zone_lookup_features,object,2015
service_zone,taxi_zone_lookup_features,object,4030
zone_name,taxi_zone_lookup_features,object,2015
zone_id,taxi_zone_lookup_features,int64,0
temperature,weather_features,float64,0
precipitation,weather_features,float64,0
snowfall,weather_features,float64,0
wind_speed,weather_features,float64,0
humidity,weather_features,float64,0
weather_category,weather_features,object,0
rain_indicator,weather_features,int64,0
heavy_rain_indicator,weather_features,int64,0
snowfall_indicator,weather_features,int64,0
weather_available,weather_features,int64,0
event_active,event_incident_features,int64,0
event_flag,event_incident_features,int64,0
event_intensity,event_incident_features,float64,0
event_intensity_score,event_incident_features,float64,0
zone_incident_count,event_incident_features,float64,0
citywide_incident_count,event_incident_features,float64,0
incident_flag,event_incident_features,int64,0
accident_flag,event_incident_features,int64,0
road_disruption_flag,event_incident_features,int64,0
road_closure_flag,event_incident_features,int64,0
disruption_score,event_incident_features,float64,0
event_mapping_quality,event_incident_features,object,0
pickup_count_lag_1,lag_rolling_calendar_features,float64,0
pickup_count_lag_2,lag_rolling_calendar_features,float64,0
pickup_count_lag_3,lag_rolling_calendar_features,float64,0
pickup_count_lag_24,lag_rolling_calendar_features,float64,0
pickup_count_lag_168,lag_rolling_calendar_features,float64,0
pickup_count_roll_mean_3,lag_rolling_calendar_features,float64,0
pickup_count_roll_mean_6,lag_rolling_calendar_features,float64,0
pickup_count_roll_mean_24,lag_rolling_calendar_features,float64,0
pickup_count_roll_std_24,lag_rolling_calendar_features,float64,0
pickup_count_roll_mean_168,lag_rolling_calendar_features,float64,0
pickup_count_roll_std_168,lag_rolling_calendar_features,float64,0
rain_x_rush_hour,interaction_features,int64,0
snow_x_zone_demand,interaction_features,float64,0
event_x_baseline_demand,interaction_features,float64,0
accident_x_pickup_pressure,interaction_features,float64,0
target_pickup_count_next_hour,target,float64,0
