dataset,column,dtype
Yellow Taxi Cleaned,VendorID,int32
Yellow Taxi Cleaned,tpep_pickup_datetime,datetime64[us]
Yellow Taxi Cleaned,tpep_dropoff_datetime,datetime64[us]
Yellow Taxi Cleaned,passenger_count,float64
Yellow Taxi Cleaned,trip_distance,float64
Yellow Taxi Cleaned,PULocationID,int32
Yellow Taxi Cleaned,DOLocationID,int32
Yellow Taxi Cleaned,RatecodeID,float64
Yellow Taxi Cleaned,store_and_fwd_flag,object
Yellow Taxi Cleaned,payment_type,int64
Yellow Taxi Cleaned,fare_amount,float64
Yellow Taxi Cleaned,extra,float64
Yellow Taxi Cleaned,mta_tax,float64
Yellow Taxi Cleaned,tip_amount,float64
Yellow Taxi Cleaned,tolls_amount,float64
Yellow Taxi Cleaned,improvement_surcharge,float64
Yellow Taxi Cleaned,total_amount,float64
Yellow Taxi Cleaned,source_file,object
Yellow Taxi Cleaned,trip_duration_minutes,float64
Yellow Taxi Cleaned,pickup_hour,datetime64[us]
Taxi Zone Lookup,LocationID,int64
Taxi Zone Lookup,Borough,object
Taxi Zone Lookup,Zone,object
Taxi Zone Lookup,service_zone,object
Weather Dataset,timestamp,datetime64[ns]
Weather Dataset,temperature,float64
Weather Dataset,precipitation,float64
Weather Dataset,snowfall,float64
Weather Dataset,wind_speed,float64
Weather Dataset,humidity,float64
Weather Dataset,weather_code,int64
Weather Dataset,weather_category,object
Event Incident Dataset,timestamp,datetime64[ns]
Event Incident Dataset,zone_id,int64
Event Incident Dataset,event_active,int64
Event Incident Dataset,event_flag,int64
Event Incident Dataset,event_intensity,float64
Event Incident Dataset,event_intensity_score,float64
Event Incident Dataset,zone_incident_count,float64
Event Incident Dataset,citywide_incident_count,float64
Event Incident Dataset,incident_flag,int64
Event Incident Dataset,accident_flag,int64
Event Incident Dataset,road_disruption_flag,int64
Event Incident Dataset,road_closure_flag,int64
Event Incident Dataset,disruption_score,float64
Event Incident Dataset,event_mapping_quality,object
Final Merged Dataset,timestamp,datetime64[ns]
Final Merged Dataset,zone_id,int64
Final Merged Dataset,pickup_count,float64
Final Merged Dataset,mean_trip_distance,float64
Final Merged Dataset,mean_total_amount,float64
Final Merged Dataset,mean_fare_amount,float64
Final Merged Dataset,mean_duration_minutes,float64
Final Merged Dataset,median_duration_minutes,float64
Final Merged Dataset,mean_passenger_count,float64
Final Merged Dataset,unique_dropoff_zones,float64
Final Merged Dataset,borough,object
Final Merged Dataset,zone_name,object
Final Merged Dataset,service_zone,object
Final Merged Dataset,hour,int32
Final Merged Dataset,day_of_week,int32
Final Merged Dataset,day_of_month,int32
Final Merged Dataset,month,int32
Final Merged Dataset,week_of_year,int64
Final Merged Dataset,is_weekend,int64
Final Merged Dataset,is_rush_hour,int64
Final Merged Dataset,hour_sin,float64
Final Merged Dataset,hour_cos,float64
Final Merged Dataset,day_of_week_sin,float64
Final Merged Dataset,day_of_week_cos,float64
Final Merged Dataset,is_holiday,int64
Final Merged Dataset,temperature,float64
Final Merged Dataset,precipitation,float64
Final Merged Dataset,snowfall,float64
Final Merged Dataset,wind_speed,float64
Final Merged Dataset,humidity,float64
Final Merged Dataset,weather_code,int64
Final Merged Dataset,weather_category,object
Final Merged Dataset,weather_available,int64
Final Merged Dataset,event_active,int64
Final Merged Dataset,event_flag,int64
Final Merged Dataset,event_intensity,float64
Final Merged Dataset,event_intensity_score,float64
Final Merged Dataset,zone_incident_count,float64
Final Merged Dataset,citywide_incident_count,float64
Final Merged Dataset,incident_flag,int64
Final Merged Dataset,accident_flag,int64
Final Merged Dataset,road_disruption_flag,int64
Final Merged Dataset,road_closure_flag,int64
Final Merged Dataset,disruption_score,float64
Final Merged Dataset,event_mapping_quality,object
Final Merged Dataset,pickup_count_lag_1,float64
Final Merged Dataset,pickup_count_lag_2,float64
Final Merged Dataset,pickup_count_lag_3,float64
Final Merged Dataset,pickup_count_lag_24,float64
Final Merged Dataset,pickup_count_lag_168,float64
Final Merged Dataset,pickup_count_roll_mean_3,float64
Final Merged Dataset,pickup_count_roll_mean_6,float64
Final Merged Dataset,pickup_count_roll_mean_24,float64
Final Merged Dataset,pickup_count_roll_std_24,float64
Final Merged Dataset,pickup_count_roll_mean_168,float64
Final Merged Dataset,pickup_count_roll_std_168,float64
Final Merged Dataset,target_pickup_count_next_hour,float64
Final Merged Dataset,demand_pressure_ratio,float64
Final Merged Dataset,rain_indicator,int64
Final Merged Dataset,heavy_rain_indicator,int64
Final Merged Dataset,snowfall_indicator,int64
Final Merged Dataset,rain_x_rush_hour,int64
Final Merged Dataset,snow_x_zone_demand,float64
Final Merged Dataset,event_x_baseline_demand,float64
Final Merged Dataset,accident_x_pickup_pressure,float64
