dataset,column,count,mean,std,min,25%,50%,75%,max
Yellow Taxi Cleaned,VendorID,807332.0,1.7559739983055298,0.42950848733660574,1.0,2.0,2.0,2.0,2.0
Yellow Taxi Cleaned,passenger_count,807332.0,1.3327825479480562,0.8396636470143024,0.0,1.0,1.0,1.0,6.0
Yellow Taxi Cleaned,trip_distance,807332.0,3.2951105988614344,4.38014969670046,0.05,1.02,1.7,3.16,80.0
Yellow Taxi Cleaned,PULocationID,807332.0,165.91792100399834,63.32193877753291,1.0,132.0,162.0,234.0,265.0
Yellow Taxi Cleaned,DOLocationID,807332.0,165.0134405672016,69.22341804891671,1.0,114.0,162.0,234.0,265.0
Yellow Taxi Cleaned,RatecodeID,807332.0,2.08195636987014,9.976816904715433,1.0,1.0,1.0,1.0,99.0
Yellow Taxi Cleaned,payment_type,807332.0,1.1801712306709011,0.45173643683012915,1.0,1.0,1.0,1.0,4.0
Yellow Taxi Cleaned,fare_amount,807332.0,18.563537466618445,17.043437343121987,0.0,8.6,12.8,20.5,479.0
Yellow Taxi Cleaned,extra,807332.0,1.5747951648144753,1.8126065132490168,-2.5,0.0,1.0,2.5,12.5
Yellow Taxi Cleaned,mta_tax,807332.0,0.4970464443376455,0.038315220977193316,0.0,0.5,0.5,0.5,0.5
Yellow Taxi Cleaned,tip_amount,807332.0,3.5165558159468473,3.895790414674887,0.0,1.1,2.86,4.28,422.7
Yellow Taxi Cleaned,tolls_amount,807332.0,0.5624774813831237,2.1449630474780466,0.0,0.0,0.0,0.0,87.0
Yellow Taxi Cleaned,improvement_surcharge,807332.0,0.9998513622648427,0.010954589294203492,0.0,1.0,1.0,1.0,1.0
Yellow Taxi Cleaned,total_amount,807332.0,27.611959231146546,21.722782894604006,0.0,15.6,20.3,28.92,490.19
Yellow Taxi Cleaned,trip_duration_minutes,807332.0,15.447409863600106,12.509307608517325,1.0,7.366666666666666,11.933333333333334,19.233333333333334,179.71666666666667
